,Name,Platform,Year_of_Release,Genre,Critic_Score,User_Score,Rating
124,Final Fantasy IX,PS,2000,Role-Playing,94.0,8.9,16
126,Final Fantasy X-2,PS2,2003,Role-Playing,85.0,6.6,16
128,Assassin's Creed II,X360,2009,Action,90.0,8.8,18
130,Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,89.0,8.8,16
131,Professor Layton and the Curious Village,DS,2007,Puzzle,85.0,8.6,6
134,Medal of Honor: Rising Sun,PS2,2003,Shooter,68.0,7.6,16
135,Guitar Hero II,PS2,2006,Misc,92.0,8.5,16
136,Fable III,X360,2010,Role-Playing,80.0,6.5,18
137,Resident Evil 5,PS3,2009,Action,84.0,7.5,18
138,The Legend of Zelda: Phantom Hourglass,DS,2007,Action,90.0,8.0,6
139,FIFA Soccer 11,PS3,2010,Sports,89.0,8.0,6
140,Resident Evil,PS,1996,Action,91.0,9.0,18
141,Grand Theft Auto: Vice City Stories,PSP,2006,Action,86.0,8.0,18
142,Tony Hawk's Pro Skater,PS,1999,Sports,92.0,9.2,16
143,Guitar Hero III: Legends of Rock,PS2,2007,Misc,82.0,8.2,16
144,Link's Crossbow Training,Wii,2007,Shooter,68.0,7.1,16
145,Fallout 3,X360,2008,Role-Playing,93.0,8.5,18
146,Uncharted: Drake's Fortune,PS3,2007,Action,88.0,8.1,16
147,Madden NFL 06,PS2,2005,Sports,88.0,8.0,6
148,StarCraft II: Wings of Liberty,PC,2010,Strategy,93.0,8.2,16
149,Assassin's Creed,PS3,2007,Adventure,81.0,7.3,18
150,God of War III,PS3,2010,Action,92.0,8.7,18
151,Crash Team Racing,PS,1999,Racing,88.0,9.0,6
152,LEGO Star Wars: The Complete Saga,DS,2007,Action,80.0,5.4,6
153,Driver 2,PS,2000,Action,62.0,7.7,16
155,Tony Hawk's Pro Skater 2,PS,2000,Sports,98.0,7.7,16
156,The Lord of the Rings: The Two Towers,PS2,2002,Action,82.0,8.2,16
157,Tomb Raider,PS,1996,Action,91.0,8.6,16
158,Animal Crossing: City Folk,Wii,2008,Simulation,73.0,7.6,6
160,The Legend of Zelda: The Wind Waker,GC,2002,Action,96.0,8.9,6
161,Guitar Hero III: Legends of Rock,Wii,2007,Misc,86.0,8.4,16
164,Madden NFL 2005,PS2,2004,Sports,91.0,7.9,6
165,Guitar Hero III: Legends of Rock,X360,2007,Misc,85.0,7.9,16
166,Madden NFL 07,PS2,2006,Sports,84.0,8.2,6
168,Spider-Man: The Movie,PS2,2002,Action,76.0,7.9,6
170,God of War,PS2,2005,Action,94.0,8.9,18
173,Tony Hawk's Pro Skater 3,PS2,2001,Sports,97.0,7.5,16
174,Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Sports,86.0,8.9,6
175,The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,94.0,8.7,18
176,Need for Speed: Most Wanted,PS2,2005,Racing,82.0,9.1,16
177,Michael Jackson: The Experience,Wii,2010,Misc,56.0,8.3,12
178,Resistance: Fall of Man,PS3,2006,Shooter,86.0,8.1,18
179,Kingdom Hearts II,PS2,2005,Role-Playing,87.0,9.0,12
181,Fable II,X360,2008,Role-Playing,89.0,6.5,18
182,Namco Museum,GBA,2001,Misc,79.0,7.3,6
183,Batman: Arkham Asylum,PS3,2009,Action,91.0,8.9,16
184,Metal Gear Solid 3: Snake Eater,PS2,2004,Action,91.0,9.3,18
188,Daxter,PSP,2006,Platform,85.0,8.7,12
189,FIFA Soccer 06,PS2,2005,Sports,80.0,7.8,6
190,EyeToy Play,PS2,2003,Misc,80.0,7.5,6
191,Gran Turismo 5 Prologue,PS3,2007,Racing,80.0,7.1,6
193,Street Fighter IV,PS3,2009,Fighting,94.0,7.3,16
194,Madden NFL 2003,PS2,2002,Sports,95.0,7.7,6
195,Half-Life,PC,1997,Shooter,96.0,9.1,18
196,World of Warcraft: The Burning Crusade,PC,2007,Role-Playing,91.0,7.9,16
198,God of War II,PS2,2007,Action,93.0,8.9,18
199,Fallout: New Vegas,X360,2010,Role-Playing,84.0,8.1,18
200,Forza Motorsport 2,X360,2007,Racing,90.0,8.3,6
201,Carnival Games,Wii,2007,Misc,56.0,6.0,6
203,Tekken Tag Tournament,PS2,2000,Fighting,85.0,8.5,16
205,Namco Museum: 50th Anniversary,PS2,2005,Misc,61.0,,12
206,Left 4 Dead 2,X360,2009,Shooter,89.0,8.6,18
211,Fallout 3,PS3,2008,Role-Playing,90.0,8.0,18
212,Professor Layton and the Diabolical Box,DS,2007,Puzzle,84.0,8.8,12
213,EA Sports Active,Wii,2009,Sports,81.0,8.7,6
214,Tony Hawk's Underground,PS2,2003,Sports,90.0,8.7,16
218,Tekken 5,PS2,2005,Fighting,88.0,8.6,16
219,MotorStorm,PS3,2006,Racing,84.0,7.4,16
220,World Soccer Winning Eleven 8 International,PS2,2004,Sports,91.0,9.1,6
221,Sports Champions,PS3,2010,Sports,76.0,7.9,12
223,Flash Focus: Vision Training in Minutes a Day,DS,2007,Misc,59.0,4.0,6
225,Big Brain Academy: Wii Degree,Wii,2007,Misc,68.0,6.9,6
226,LEGO Indiana Jones: The Original Adventures,X360,2008,Action,77.0,7.5,12
227,The Sims: Unleashed,PC,2002,Simulation,79.0,8.0,16
228,Harry Potter and the Sorcerer's Stone,PS,2001,Action,64.0,7.5,6
229,Super Paper Mario,Wii,2007,Platform,85.0,7.9,6
230,Spyro: Year of the Dragon,PS,2000,Platform,91.0,8.8,6
232,FIFA Soccer 2005,PS2,2004,Sports,81.0,7.6,6
233,Tony Hawk's Pro Skater 4,PS2,2002,Sports,94.0,8.5,16
234,MySims,DS,2007,Simulation,67.0,7.3,6
235,Midnight Club 3: DUB Edition,PSP,2005,Racing,74.0,8.4,12
236,SOCOM: U.S. Navy SEALs,PS2,2002,Shooter,82.0,7.9,18
237,Jak and Daxter: The Precursor Legacy,PS2,2001,Platform,90.0,8.7,6
238,Pro Evolution Soccer 2008,PS2,2007,Sports,82.0,7.9,6
239,Resident Evil 4,PS2,2005,Action,96.0,8.9,18
240,Guitar Hero: World Tour,Wii,2008,Misc,86.0,7.6,16
241,FIFA Soccer 10,PS3,2009,Sports,91.0,7.6,6
242,Star Wars: Battlefront,PS2,2004,Shooter,82.0,8.7,16
243,The Simpsons: Road Rage,PS2,2001,Racing,64.0,7.7,16
244,Luigi's Mansion,GC,2001,Action,78.0,8.5,6
246,Star Wars: Battlefront II,PS2,2005,Shooter,84.0,9.0,16
247,Cooking Mama 2: Dinner With Friends,DS,2007,Simulation,70.0,8.0,6
248,Grand Theft Auto: Liberty City Stories,PS2,2006,Action,78.0,7.8,18
249,The Getaway,PS2,2002,Action,72.0,6.8,18
250,James Bond 007: Agent Under Fire,PS2,2001,Shooter,72.0,7.9,16
251,FIFA Soccer 11,X360,2010,Sports,88.0,7.5,6
252,Left 4 Dead,X360,2008,Shooter,89.0,7.9,18
254,Resident Evil 5,X360,2009,Action,83.0,7.5,18
255,Assassin's Creed: Brotherhood,X360,2010,Action,89.0,8.3,18
257,Batman: Arkham Asylum,X360,2009,Action,92.0,8.7,16
259,Battlefield: Bad Company 2,X360,2010,Shooter,88.0,8.6,18
260,Guitar Hero: On Tour,DS,2008,Misc,71.0,8.8,12
261,Clubhouse Games,DS,2006,Misc,83.0,8.4,6
262,Borderlands,X360,2009,Shooter,84.0,8.2,18
263,Tekken 4,PS2,2002,Fighting,79.0,8.3,16
264,Grand Theft Auto 2,PS,1998,Action,70.0,8.0,16
266,Spider-Man 2,PS2,2004,Action,80.0,8.9,16
267,FIFA Soccer 2003,PS2,2002,Sports,88.0,6.7,6
269,Crash Bash,PS,2000,Misc,68.0,8.2,6
271,LEGO Batman: The Videogame,X360,2008,Action,76.0,7.9,12
274,James Bond 007: Nightfire,PS2,2002,Shooter,77.0,8.5,16
275,Star Wars Episode III: Revenge of the Sith,PS2,2005,Action,60.0,7.2,16
276,The Legend of Zelda: Spirit Tracks,DS,2009,Action,87.0,7.8,12
277,Max Payne,PS2,2001,Shooter,80.0,8.5,18
279,The Lord of the Rings: The Return of the King,PS2,2003,Action,85.0,8.7,16
281,True Crime: Streets of LA,PS2,2003,Action,77.0,8.0,18
282,Professor Layton and the Unwound Future,DS,2008,Puzzle,86.0,9.2,12
284,Wii Music,Wii,2008,Misc,63.0,4.6,6
289,God of War: Chains of Olympus,PSP,2008,Action,91.0,8.6,18
290,Enter the Matrix,PS2,2003,Action,62.0,8.1,16
291,Crisis Core: Final Fantasy VII,PSP,2007,Role-Playing,83.0,8.0,16
292,Dance Central,X360,2010,Misc,82.0,7.6,16
294,Ace Combat 04: Shattered Skies,PS2,2001,Simulation,89.0,9.1,6
295,Animal Crossing,GC,2001,Simulation,87.0,8.9,6
296,FIFA Soccer 08,PS2,2007,Sports,83.0,6.5,6
297,Spider-Man,PS,2000,Action,87.0,9.0,6
299,Sonic Rush,DS,2005,Platform,82.0,8.5,6
300,Rhythm Heaven,DS,2008,Misc,83.0,9.0,6
301,Fallout: New Vegas,PS3,2010,Role-Playing,82.0,7.8,18
302,Personal Trainer: Cooking,DS,2006,Misc,81.0,7.8,6
303,The Elder Scrolls IV: Oblivion,PS3,2007,Role-Playing,93.0,8.0,18
306,Mass Effect 2,X360,2010,Role-Playing,96.0,8.9,18
307,Dragon Ball Z: Budokai,PS2,2002,Fighting,67.0,7.9,16
308,Madden NFL 2002,PS2,2001,Sports,94.0,7.9,6
309,The Sims: Vacation,PC,2002,Simulation,75.0,7.8,16
313,LEGO Batman: The Videogame,DS,2008,Action,72.0,8.0,12
314,Kung Fu Panda,X360,2008,Action,75.0,7.4,12
316,Heavy Rain,PS3,2010,Adventure,87.0,7.7,18
317,Saints Row 2,X360,2008,Action,81.0,8.1,18
318,Tom Clancy's Splinter Cell,XB,2002,Action,93.0,8.5,16
320,Killzone 2,PS3,2009,Shooter,91.0,8.1,18
322,Epic Mickey,Wii,2010,Platform,73.0,7.0,6
324,Dragon Ball Z: Budokai Tenkaichi 3,PS2,2007,Fighting,73.0,9.2,16
325,The Sims: Livin Large,PC,2000,Misc,82.0,6.6,16
326,World Soccer Winning Eleven 6 International,PS2,2002,Sports,93.0,9.1,6
327,Devil May Cry,PS2,2001,Action,94.0,8.5,18
330,Sonic Heroes,PS2,2003,Platform,64.0,7.8,6
331,Hitman 2: Silent Assassin,PS2,2002,Action,85.0,7.8,18
333,Battlefield: Bad Company 2,PS3,2010,Shooter,88.0,8.5,18
334,SOCOM II: U.S. Navy SEALs,PS2,2003,Shooter,87.0,9.0,18
335,Pac-Man Collection,GBA,2001,Puzzle,79.0,7.8,6
336,Street Fighter IV,X360,2009,Fighting,93.0,7.3,16
337,inFAMOUS,PS3,2009,Action,85.0,8.3,16
338,Kirby Super Star Ultra,DS,2008,Platform,76.0,8.8,6
340,Mass Effect,X360,2007,Role-Playing,91.0,8.7,18
341,Sonic Mega Collection Plus,PS2,2004,Misc,73.0,8.6,6
342,World Soccer Winning Eleven 7 International,PS2,2003,Sports,93.0,9.0,6
343,Sega Superstars Tennis,X360,2008,Sports,67.0,6.8,12
344,Hot Shots Golf 3,PS2,2001,Sports,85.0,8.9,6
345,Cooking Mama: Cook Off,Wii,2007,Simulation,61.0,5.3,6
346,Call of Duty: Finest Hour,PS2,2004,Shooter,76.0,7.7,16
347,WarioWare: Smooth Moves,Wii,2006,Puzzle,83.0,7.4,12
349,The Elder Scrolls III: Morrowind,XB,2002,Role-Playing,87.0,8.7,16
352,Madden NFL 10,X360,2009,Sports,85.0,6.1,6
353,BioShock,X360,2007,Shooter,96.0,8.9,18
354,Metroid Prime,GC,2002,Shooter,97.0,9.3,16
355,Assassin's Creed: Brotherhood,PS3,2010,Action,90.0,8.2,18
356,Medal of Honor,PS3,2010,Shooter,75.0,7.5,18
358,NBA Street,PS2,2001,Sports,89.0,8.6,6
359,Jak II,PS2,2003,Platform,87.0,8.2,16
360,Need for Speed: Hot Pursuit,PS3,2010,Racing,89.0,7.2,12
364,The Sims,PS2,2003,Simulation,83.0,7.7,16
366,Star Wars: The Force Unleashed,X360,2008,Action,73.0,6.7,16
367,Yoshi's Island DS,DS,2006,Platform,81.0,7.4,6
369,Tekken 6,PS3,2009,Fighting,79.0,7.4,16
370,Sonic and the Secret Rings,Wii,2007,Platform,69.0,6.6,6
371,The Legend of Zelda: A Link to the Past,GBA,2002,Action,95.0,9.1,6
372,Onimusha: Warlords,PS2,2001,Action,86.0,8.2,18
374,Call of Duty 3,X360,2006,Shooter,82.0,6.5,16
376,LEGO Star Wars II: The Original Trilogy,PS2,2006,Action,84.0,9.0,12
378,Madden NFL 11,X360,2010,Sports,84.0,5.7,6
379,Burnout 3: Takedown,PS2,2004,Racing,93.0,9.1,16
380,Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,2010,Puzzle,79.0,7.7,6
381,Professor Layton and the Last Specter,DS,2009,Puzzle,83.0,8.7,12
382,Call Of Duty 2: Big Red One,PS2,2005,Shooter,77.0,8.2,16
383,Medal of Honor,PS,1998,Shooter,92.0,8.6,16
384,Fable,XB,2004,Role-Playing,85.0,8.5,18
385,Guitar Hero: World Tour,X360,2008,Misc,85.0,6.3,16
387,Tom Clancy's Splinter Cell,PS2,2003,Action,89.0,7.7,16
388,Need for Speed: Shift,PS3,2009,Racing,84.0,6.9,6
389,Medal of Honor Heroes,PSP,2006,Shooter,71.0,7.9,16
391,Midnight Club: Street Racing,PS2,2000,Racing,78.0,7.8,16
392,Skate 3,X360,2010,Sports,80.0,8.0,16
393,ESPN NFL 2K5,PS2,2004,Sports,90.0,8.2,6
394,Halo Wars,X360,2009,Strategy,82.0,7.2,16
396,FIFA Soccer 10,X360,2009,Sports,90.0,7.5,6
397,Medal of Honor,X360,2010,Shooter,74.0,6.7,18
398,Harry Potter and the Chamber of Secrets,PS2,2002,Action,71.0,7.6,6
399,God of War Collection,PS3,2009,Action,91.0,8.7,18
400,NBA Live 2005,PS2,2004,Sports,84.0,8.1,6
401,Mario Strikers Charged,Wii,2007,Sports,79.0,8.0,12
402,FIFA Soccer 09,PS3,2008,Sports,87.0,7.5,6
403,Style Savvy,DS,2008,Simulation,73.0,7.7,6
404,WWE SmackDown vs. RAW 2007,PS2,2006,Fighting,80.0,8.6,16
405,LEGO Star Wars: The Complete Saga,X360,2007,Action,80.0,7.4,12
406,Madden NFL 08,PS2,2007,Sports,78.0,7.8,6
407,Monster Hunter Freedom 2,PSP,2007,Role-Playing,72.0,8.7,16
408,Sonic Adventure 2 Battle,GC,2001,Platform,73.0,8.3,6
410,Dragon Age: Origins,X360,2009,Role-Playing,86.0,7.9,18
411,Pokémon Colosseum,GC,2003,Role-Playing,73.0,8.0,6
412,LittleBigPlanet,PSP,2009,Platform,87.0,7.8,12
413,Madden NFL 09,X360,2008,Sports,83.0,7.0,6
414,Crazy Taxi,PS2,2001,Racing,80.0,7.9,16
415,Art Academy,DS,2010,Misc,75.0,8.0,6
418,Deca Sports,Wii,2008,Sports,50.0,5.4,6
419,Marvel: Ultimate Alliance,X360,2006,Role-Playing,82.0,7.5,16
420,Mortal Kombat: Deadly Alliance,PS2,2002,Fighting,79.0,8.8,18
421,Game Party,Wii,2007,Misc,25.0,4.3,6
423,Mario Party 4,GC,2002,Misc,70.0,7.4,6
424,Pure,X360,2008,Racing,85.0,7.7,6
427,Resistance 2,PS3,2008,Shooter,87.0,6.1,18
429,Final Fantasy Tactics,PS,1997,Role-Playing,83.0,8.2,16
430,Midnight Club: Los Angeles,PS3,2008,Racing,82.0,8.2,16
431,The Sims: Bustin' Out,PS2,2003,Simulation,81.0,8.4,16
432,LEGO Harry Potter: Years 1-4,Wii,2010,Action,79.0,8.0,12
435,Tom Clancy's Rainbow Six: Vegas 2,X360,2008,Shooter,82.0,7.8,18
436,uDraw Studio,Wii,2010,Misc,71.0,,6
437,Need for Speed Carbon: Own the City,PSP,2006,Racing,73.0,7.9,12
438,Dragon Ball Z: Budokai 2,PS2,2003,Fighting,66.0,8.2,16
439,pro evolution soccer 2011,PS3,2010,Sports,77.0,6.8,6
440,ATV Offroad Fury,PS2,2001,Racing,82.0,8.4,6
441,Need for Speed: ProStreet,PS2,2007,Racing,62.0,6.2,12
443,Guitar Hero,PS2,2005,Misc,91.0,8.7,16
444,Madden NFL 11,PS3,2010,Sports,83.0,6.1,6
446,Half-Life 2,PC,2004,Shooter,96.0,9.1,18
447,The Incredibles,PS2,2004,Action,62.0,7.6,16
448,Madden NFL 08,X360,2007,Sports,85.0,6.4,6
449,Tony Hawk's Underground 2,PS2,2004,Sports,83.0,8.8,16
450,Zumba Fitness,X360,2010,Sports,42.0,5.5,6
451,Madden NFL 10,PS3,2009,Sports,85.0,6.8,6
452,Midnight Club: Los Angeles,X360,2008,Racing,81.0,8.5,16
454,WWE SmackDown vs Raw 2008,PS2,2007,Fighting,71.0,7.2,16
456,Resident Evil - Code: Veronica X,PS2,2001,Action,84.0,8.4,18
459,James Bond 007: Everything or Nothing,PS2,2004,Shooter,84.0,9.1,16
460,Need For Speed: High Stakes,PS,1999,Racing,86.0,8.5,6
464,LEGO Star Wars: The Complete Saga,PS3,2007,Action,80.0,6.7,12
465,Need for Speed Underground 2,XB,2004,Racing,77.0,8.7,6
466,Pro Evolution Soccer 2010,PS3,2009,Sports,78.0,6.7,6
467,FIFA Soccer 09,PS2,2008,Sports,82.0,6.9,6
468,LEGO Harry Potter: Years 1-4,DS,2010,Action,72.0,7.2,12
469,The Sims 3,X360,2010,Simulation,76.0,7.1,16
470,Pokemon Ranger: Shadows of Almia,DS,2008,Role-Playing,68.0,8.2,6
472,Kirby: Nightmare in Dream Land,GBA,2002,Platform,81.0,8.9,6
473,Wario Land 4,GBA,2001,Platform,88.0,8.9,6
474,Sonic's Ultimate Genesis Collection,PS3,2009,Misc,80.0,8.6,12
477,Onimusha 2: Samurai's Destiny,PS2,2002,Adventure,84.0,9.0,18
478,Paper Mario: The Thousand-Year Door,GC,2004,Role-Playing,87.0,9.4,6
481,Guitar Hero III: Legends of Rock,PS3,2007,Misc,83.0,7.8,16
482,Sonic Advance,GBA,2001,Platform,87.0,8.1,6
483,Super Monkey Ball: Banana Blitz,Wii,2006,Misc,74.0,5.7,6
485,Spyro: Season of Ice,GBA,2001,Platform,74.0,8.0,6
486,Dissidia: Final Fantasy,PSP,2008,Fighting,79.0,8.0,16
489,Prince of Persia: The Sands of Time,PS2,2003,Action,92.0,8.8,16
490,Monster Hunter Tri,Wii,2009,Role-Playing,84.0,8.6,16
493,Star Wars: The Force Unleashed,PS3,2008,Action,71.0,6.6,16
494,Guitar Hero II,X360,2007,Misc,92.0,8.1,16
496,Rock Band 2,X360,2008,Misc,92.0,8.3,16
497,Need for Speed: Hot Pursuit,X360,2010,Racing,88.0,7.0,12
498,LEGO Indiana Jones: The Original Adventures,DS,2008,Action,80.0,7.9,6
499,BioShock 2,X360,2010,Shooter,88.0,8.2,18
500,Star Wars: Knights of the Old Republic,XB,2003,Role-Playing,94.0,9.2,16
503,Saints Row,X360,2006,Action,81.0,7.5,18
504,ATV Offroad Fury 2,PS2,2002,Racing,82.0,8.9,6
507,Final Fantasy XIII,X360,2010,Role-Playing,82.0,6.3,16
508,The Sims: House Party,PC,2001,Simulation,74.0,7.9,16
509,Scribblenauts,DS,2009,Puzzle,79.0,7.6,12
510,Sonic Unleashed,Wii,2008,Platform,66.0,7.3,12
511,Pokemon Ranger,DS,2006,Role-Playing,69.0,7.6,6
514,Call of Duty: Roads to Victory,PSP,2007,Shooter,64.0,7.5,16
515,Dance Dance Revolution Extreme,PS2,2004,Simulation,77.0,9.0,6
516,Final Fantasy Tactics Advance,GBA,2003,Role-Playing,87.0,7.8,6
517,Your Shape featuring Jenny McCarthy,Wii,2009,Sports,62.0,5.2,6
518,Project Gotham Racing,XB,2001,Racing,85.0,8.2,6
520,Need for Speed: Hot Pursuit 2,PS2,2002,Racing,89.0,8.5,6
521,Dynasty Warriors 4,PS2,2003,Action,78.0,9.3,16
523,Parasite Eve,PS,1998,Role-Playing,81.0,8.9,18
524,Tetris DS,DS,2006,Puzzle,84.0,8.7,6
527,Borderlands,PS3,2009,Shooter,83.0,7.9,18
528,Devil May Cry 3: Dante's Awakening,PS2,2005,Action,84.0,9.0,18
529,NBA 2K11,X360,2010,Action,89.0,8.1,6
531,Dead Rising,X360,2006,Action,85.0,7.6,18
532,World of Warcraft: Cataclysm,PC,2010,Role-Playing,90.0,5.6,16
533,Tetris Worlds,PS2,2002,Puzzle,44.0,6.2,6
534,Final Fantasy III,DS,2006,Role-Playing,77.0,7.1,12
535,Mario Party 5,GC,2003,Misc,69.0,8.2,6
537,Mario Sports Mix,Wii,2010,Sports,64.0,7.1,6
538,Need for Speed: Most Wanted 5-1-0,PSP,2005,Racing,72.0,7.8,12
539,The Sims 2: Pets,DS,2006,Simulation,49.0,5.2,6
540,Dance Dance Revolution: Hottest Party,Wii,2007,Simulation,73.0,7.1,12
542,UFC 2009 Undisputed,X360,2009,Fighting,83.0,7.9,16
543,Metal Gear Solid: Peace Walker,PSP,2010,Action,89.0,8.9,16
544,The Incredibles,GBA,2004,Action,55.0,,6
545,Kingdom Hearts: Birth by Sleep,PSP,2010,Role-Playing,82.0,8.6,12
546,SoulCalibur II,PS2,2003,Fighting,92.0,8.8,16
547,Need for Speed: ProStreet,X360,2007,Racing,72.0,7.1,12
548,Sonic Mega Collection,GC,2002,Misc,75.0,8.8,6
549,Need For Speed: Undercover,PS3,2008,Racing,59.0,5.9,16
550,SOCOM: U.S. Navy SEALs: Combined Assault,PS2,2006,Shooter,72.0,9.0,16
551,Peter Jackson's King Kong: The Official Game of the Movie,PS2,2005,Action,82.0,8.2,16
